Concept,Viewpoint,Subcategory,Category,Description,schema,ID,URL
Data Use,Information Viewpoint,Process,Data and Information Management,"In the data use phase the research infrastructure supports users of an infrastructure in gaining access to data and facilitating the preservation of derived data products. The data use phase provides functionalities that manage and track users' activities while supporting the users to conduct their research activities which may result in the creation of new data products. Data 'handled' and produced at this phase are typically user-generated data and communications. The data use phase requires supporting activities such as interactive visualisation, standardised authentication, authorisation and accounting protocols, and the use of virtual organisations. This is the most advanced form of data processing, at this phase the research infrastructure implements an interface with the wider world in which it exists.",,, http://envri.eu/rm
Database schema,Information Viewpoint,Framework,Data and Information Management,"A database schema is a blueprint that defines how data is organized within a relational database, including logical constraints like table names, fields, data types, and the relationships between these entities. It serves as the foundation for an organization's data management discipline and is commonly depicted visually to communicate the database architecture. This process, known as data modeling, caters to various stakeholders such as database users, administrators, and programmers. For instance, it aids administrators in managing normalization processes to prevent data duplication and assists analysts in navigating data structures for reporting and business analysis. Unlike a database schema, a database instance represents a snapshot of data from the database at a specific moment in time, containing the actual data values described by the schema. While the schema remains static, instances may change over time to reflect updates or modifications to the data.",,,https://www.ibm.com/topics/database-schema
Repository,Information Viewpoint,storage,Data and Information Management,"A repository is a service designed for the secure deposit and long-term preservation of research data. It serves as a storage facility where data can be stored and accessed over time. Repositories may offer various levels of access to the deposited data, ranging from open access to restricted access. Often, the term ""repository"" is used interchangeably with ""archive"" to denote a centralized location for storing and managing data assets.",,,https://researchdata.ox.ac.uk/rdm-glossary#archive
Data Archives,Information Viewpoint,storage,Data and Information Management,"A data archive is a specialized service focused on preserving, organizing, and cataloging digital items in optimal conditions to ensure their longevity and continued access. Often used interchangeably with ""repository,"" archives typically adhere to standardized labeling and metadata practices to facilitate effective management of their holdings. Archives may have policies governing the types of materials they accept, which can include data from specific fields, types, or projects funded by particular bodies. They may also offer active curation services to ensure the ongoing usability of stored data. While some materials in archives may be open access, others may have restricted access based on criteria set by the archive or data creator. Data archives primarily focus on preserving research data, although archives for other types of digital materials, such as websites, also exist.",,,https://researchdata.ox.ac.uk/rdm-glossary#archive
Cloud Storage,Information Viewpoint,storage,Data and Information Management,"Cloud storage is a fundamental element of cloud computing, encompassing various types of data storage solutions. It can range from enterprise-level databases to simple data storage akin to saving files on a local hard drive. Unlike traditional networked data storage, where data is stored on dedicated servers, cloud storage utilizes multiple third-party services. From the customer's perspective, cloud storage presents a virtual server where data appears to be stored in a specific location with a designated name. However, in reality, such physical locations do not exist; instead, it's a pseudonym representing a virtual space created within the cloud infrastructure.",,,doi.org/10.1109/ICNGCIS.2017.9
Data Security,Information Viewpoint,Discipline,Data and Information Management,"Data security involves safeguarding data from unauthorized access, whether accidental or intentional, to prevent its modification, destruction, or disclosure.",,,"doi.org/10.1007/978-3-319-17199-9_13,   https://rmf.org/wp-content/uploads/2017/10/CNSSI-4009.pdf"
Risk Analysis,Information Viewpoint,Evaluation,Data and Information Management,Risk analysis is the systematic process of utilizing available information to identify potential sources of risk and estimate the level of risk associated with them.,,,"DOI.org/10.1007/978-3-319-17199-9_13, https://www.iso.org/standard/41933.html"
Data management plan,Computational Viewpoint,System,Data and Information Management,"A data management plan (DMP) is a structured document that delineates how a project intends to handle its research data across the entirety of its lifecycle. This plan encompasses specifics regarding the nature of the data involved, methodologies for data acquisition, storage protocols, backup procedures, secure access mechanisms for collaborators, and strategies for meeting legal and ethical obligations. Additionally, it should outline considerations for long-term data preservation and sharing.",,,https://researchdata.ox.ac.uk/rdm-glossary#archive
Semantic Web Technologies,Technology Viewpoint,Tool,Data and Information Management,"Semantic web technologies refer to a set of standards established by the World Wide Web Consortium (W3C) to extend the capabilities of the World Wide Web, often referred to as Web 3.0. The primary objective of semantic web technologies is to render internet data machine-readable. Key technologies employed for this purpose include the Resource Description Framework (RDF) and the Web Ontology Language (OWL), which enable the formal representation of metadata. For instance, ontologies can delineate concepts, relationships between entities, and categories of objects, providing embedded semantics within the data. These technologies facilitate various advantages, including the ability to reason over data and interoperability among heterogeneous data sources. By promoting common data formats and exchange protocols, particularly RDF, semantic web standards foster data sharing and reuse across diverse applications, enterprises, and communities. As a result, the Semantic Web serves as an integrator across different content and information systems, enhancing the interoperability and accessibility of web-based data.",,, https://en.wikipedia.org/wiki/Semantic_Web
Semantic Technologies,Technology Viewpoint,Tool,Data and Information Management,"The ultimate goal of semantic technology is to help machines understand data. To enable the encoding of semantics with the data, well-known technologies are RDF and OWL. These technologies formally represent the meaning involved in information. ",,, https://en.wikipedia.org/wiki/Semantic_technology
Scenario Studies Tools,Technology Viewpoint,Tool,Implementation and Use Cases,"Scenario studies tools encompass methods used to construct scenarios of the future state of the environment, addressing complex environmental challenges. These tools are essential for assessing potential impacts such as climate change effects on agriculture or sea level rise. Key elements of scenario construction include step-wise changes, driving forces, base year, time horizon, and storyline. Stakeholder participation is integral, driven by normative, instrumental, substantive, and social learning reasons. Participation ensures relevance, credibility, legitimacy, and creativity of scenarios, fostering active learning and consensus-building. Stakeholders are typically involved in storyline development, facilitating qualitative exploration of future possibilities and encouraging innovative thinking.",,,"doi.org/10.1016/j.futures.2009.08.005, https://www.eea.europa.eu/publications/environmental_issue_report_2001_24/file"
Scenario Planning,Computational Viewpoint,Process,Implementation and Use Cases,"Scenario planning is a strategic method aimed at creatively exploring potential futures characterized by complexity and uncertainty. Unlike traditional forecasting methods that focus on predicting a single outcome, scenario planning involves considering multiple future scenarios that encompass key uncertainties within the system. Comparable to adaptive management, scenario planning and its emphasis on exploring alternative models align with addressing uncertainty in decision-making processes. However, scenario planning stands out by integrating management experiments directly into the models, particularly beneficial when uncertainties are high, and manipulating the system is challenging or unfeasible.",,,https://doi.org/10.1046/j.1523-1739.2003.01491.x
Stakeholder Analysis,Computational Viewpoint,Evaluation,Implementation and Use Cases,"Stakeholder analysis involves identifying and assessing the parties affected by potential decisions without extending into the subsequent steps of decision-making. It focuses solely on recognizing stakeholders and evaluating the positive and negative impacts on each without addressing how this information informs decision-making or its implementation. Stakeholder analysis, therefore, serves as a preparatory phase in decision-making, highlighting affected parties but not the ethical considerations guiding decisions. Stakeholder synthesis, on the other hand, encompasses the decision-making process, moving from stakeholder identification to practical responses or resolutions. It provides a pathway for integrating ethical values into decision-making by bridging stakeholder identification with substantive decision-making and implementation. However, the ethical substance within stakeholder synthesis depends on how stakeholders are considered and integrated into decision-making processes.",,, https://www.jstor.org/stable/3857592
Users,Computational Viewpoint,Role,Implementation and Use Cases,"A user is an individual who interacts with a computer or network service, often possessing a user account identified by a username. End users are the ultimate operators of a software product, distinct from those who support or maintain it, such as sysops or technicians. This term abstracts the software operator from developers and clients, focusing on designing user interfaces based on common user characteristics. In user-centered design, personas represent user types, detailing interface preferences and expertise levels. For programs designed for the general public, minimal technical expertise is typically expected. End-user development blurs the distinction between users and developers, involving non-professionals in creating automated behavior and data objects without extensive programming knowledge.",,,https://en.wikipedia.org/wiki/User_(computing)
Requirements Definition,Computational Viewpoint,Phase,Implementation and Use Cases,"The first of three phases of the software life cycle, Requirements Definition, involves capturing the expected system services and constraints using natural language and diagrams, often with input from customers. It provides a general overview and involves stakeholders such as managers, end-users, system architects, and client engineers. ",,,"https://doi.org/10.1145/253228.253258, https://www.researchgate.net/publication/237460652"
Requirement Specification,Computational Viewpoint,Phase,Implementation and Use Cases,"Requirements Specification is the second of three phases in the software lifecycle. It involves producing a structured document detailing system services more precisely, often serving as a contract between the system buyer and software developer. It involves end-users, system architects, client engineers, and software developers and provides an intermediate level of detail. Requirements specifications can be articulated in natural language, structured natural language, semi-formal languages, or formal languages, each with varying degrees of precision and formality. A comprehensive requirements specification must accurately define all encountered real-world situations and the system's responses to them while avoiding unnecessary features or situations. Ensuring consistency and correctness in the specification involves resolving conflicts between requirements and ensuring the accurate identification of conditions and limitations encountered by the system.",,,"https://doi.org/10.1145/253228.253258, https://www.researchgate.net/publication/237460652"
Software Specification,Computational Viewpoint,Phase,Implementation and Use Cases,"The third and final phase of the software life cycle is Software Specification. It offers an abstract description of the software, laying the groundwork for design and implementation, and requires highly detailed input primarily from system architects and software developers.",,,"https://doi.org/10.1145/253228.253258, https://www.researchgate.net/publication/237460652"
Use Case Development,Computational Viewpoint,User Flow,Implementation and Use Cases,"Developing a use case involves crafting a written narrative that outlines how a system or process interacts with user actions, encapsulating the desired functionality of a product and envisioning various user scenarios, both positive and negative. Typically presented from a hypothetical user's viewpoint, a use case includes components such as the user's description, intended actions, overarching objective, step-by-step sequence of actions, and system response to user inputs. For instance, in the context of a website, a use case might delineate the user's profile, their objectives on the site, how the site reacts to user interactions, and whether the user achieves their intended outcome. Analyzing such use cases aids in evaluating the website's suitability for its intended purpose and pinpointing areas for enhancement.",,,https://www.indeed.com/career-advice/career-development/developing-use-case
User Stories,Computational Viewpoint,User Flow,Implementation and Use Cases,"A user story is the smallest unit of work in an agile framework, representing an end goal from the software user's perspective. It's an informal explanation of a software feature, focused on delivering value to the customer, whether external or internal. User stories are concise, simple sentences outlining desired outcomes, with detailed requirements added later, once agreed upon by the team.",,,"https://www.atlassian.com/agile/project-management/user-stories#:~:text=A%20user%20story%20is%20the,the%20end%20user%20or%20customer."
Software Documentation,Computational Viewpoint,User Flow,Implementation and Use Cases,"Software documentation encompasses various attributes such as accuracy, clarity, consistency, readability, structuredness, and understandability, which are crucial for developers and maintainers. While documentation standards like IEEE Std.1063-2001 and ISO 26514:2008 are not highly regarded by developers, source code, code comments, data models, and requirement specifications are considered vital documents for maintainers. Issues like lack of traceability, untrustworthiness, and incompleteness pose significant challenges for maintainers, with documentation often overlooked during corrective maintenance. However, updating documentation with each change can lead to improved code quality, fostering what is known as ""embarrassment-driven development."" Developers typically rely on design documents during the development phase, while code comments are valued most for maintenance purposes. Attributes like readability, content relevance, and organization greatly influence the perceived quality of documentation. To enhance documentation tools, efforts should focus on extracting knowledge from core resources such as source code, test code, and changes, ultimately reducing the maintenance effort required for documentation upkeep.",,,"https://doi.org/10.1145/3377811.3380405, https://doi.org/10.1109/QSIC.2014.22 "
End-user Feedback,Computational Viewpoint,User Flow,Implementation and Use Cases,"End-user feedback refers to valuable insights and information provided by individuals who use widely adopted software applications. The primary aim of this feedback is to propose enhancements or changes to the applications, including new requirements, modifications, or adjustments in user behavior, with the intention of improving their functionality or performance.",,,https://www.researchgate.net/profile/Itzel-Morales-Ramirez/publication/237064827_On_Exploiting_End-User_Feedback_in_Requirements_Engineering/links/0c96051fa6c0844862000000/On-Exploiting-End-User-Feedback-in-Requirements-Engineering.pdf
Iterative Testing,Computational Viewpoint,Validation,Implementation and Use Cases,"Iterative testing involves performing verification and validation tasks throughout every phase of the software development lifecycle to ensure software quality. Testing activities start early in the lifecycle and continue throughout subsequent phases. The Object Modelling Technique (OMT) is a framework where testing tasks follow the implementation phase. Sequentially, test cases are defined, designed, written, and executed, followed by evaluation of both the tests and the software. In this model, testing tasks occur after object implementation and cannot be carried out simultaneously with object definition, design, and implementation tasks.",,,https://doi.org/10.1023/A:1018528506161
Scenario Exploration,Engineering Viewpoint,Validation,Implementation and Use Cases,"Scenario exploration, often the initial phase of debugging, involves generating model instances that adhere to specifications to promptly identify issues in the development process. While specifications typically yield numerous scenarios, even when bounded to a finite set, effective scenario exploration necessitates selecting and presenting scenarios strategically to users. Techniques such as excluding isomorphic scenarios aim to enhance efficiency, yet the order of scenario presentation remains largely unordered, with tools like Alloy relying on SAT solvers to dictate sequence. Despite this, efforts are made to prioritize smaller instances initially, as they often reveal subtle problems more effectively. However, achieving this prioritization poses challenges, both semantically and in terms of performance, requiring solutions for efficient computation and execution.",,,"https://dl.acm.org/doi/10.5555/2486788.2486820, DOI.org/10.1007/978-3-662-46675-9"
Model Validation,Engineering Viewpoint,Validation,Implementation and Use Cases,"Model validation is a crucial step conducted after model training, involving the evaluation of the trained model using a separate testing dataset. This testing dataset can either be a portion of the same dataset used for training or an entirely different dataset.",,,"https://datatron.com/what-is-model-validation-and-why-is-it-important/#:~:text=Model%20validation%20is%20the%20process,the%20training%20set%20is%20procured."
Virtual Research Environment (VRE),Technology Viewpoint,Asset,Project Management and Collaboration,"A virtual research environment (VRE), also referred to as collaboratories, cyberenvironments, or science gateways, integrates tools for research and collaboration, reflecting the evolving nature of research practices. Stemming from the concept of virtual learning environments (VLEs), VREs aim to support collaborative research efforts by bringing together disparate tools. While still evolving, VREs hold promise for reshaping research methodologies and communication among researchers and stakeholders, driven by shifts in data production, curation, technology, and interdisciplinary research.",,,DOI.org/10.1108/07378830910968146
Platform Services,Technology Viewpoint,Asset,Project Management and Collaboration,"Platform as a Service (PaaS) extends developers access to a platform where they can develop or enhance services accessible online via the internet. Unlike Software as a Service (SaaS), which delivers software applications directly to customers via the web, PaaS enables developers to build and deploy services using cloud technology, accessible through a web browser. Microsoft Azure exemplifies PaaS in action. SaaS, on the other hand, delivers software applications to users via web browsers, such as email-based services like Gmail and Yahoo.",,,doi.org/10.1049/icp.2023.0424
Virtual Laboratories,Computational Viewpoint,Asset,Project Management and Collaboration,"Virtual labs refer to computerized systems that utilize modeling and simulation techniques to integrate a wide range of knowledge from diverse disciplines, experiences, locations, and needs. These systems serve as platforms for both knowledge integration and creation, facilitating collaboration and experimentation across various domains and enabling users to access and interact with virtual environments for research, training, and learning purposes.",,,https://doi.org/10.1007/978-3-540-71562-7_10
Experimentation Platforms,Computational Viewpoint,Asset,Project Management and Collaboration,"Experimentation platforms are digital infrastructures designed to facilitate collaboration, data sharing, and co-creation within experimental and innovation processes. These platforms typically incorporate features such as federated digital platforms, access portals, Application Programming Interfaces (APIs), and co-creation tools. They provide a centralized hub for accessing, managing, storing, and sharing relevant open data and experimenter-generated data. Key components often include an Assets Directory for federating data assets, an Urban Data Observatory (UDO) for data exploration and visualization, and various APIs for data access and sharing. Additionally, these platforms may include community and participant portals for engaging stakeholders such as citizens and users. Overall, experimentation platforms aim to encourage visibility, sharing, and collaboration among all involved parties, enabling seamless interaction and feedback throughout the experimentation and innovation lifecycle.",,,https://doi.org/10.3390/smartcities4020030
Research 2.0,Enterprise (Science) Viewpoint,Paradigm,Project Management and Collaboration,"Research 2.0 refers to the application of new practices in technology-enhanced learning (TEL) research, leveraging Web 2.0 technologies to open up the research process for broader participation and collaboration. It involves utilizing tools like blogs, wikis, and forums to enhance collaborative work, with the aim of fostering continuous engagement and further development in the research community. The goal of Research 2.0 is to create a more effective research framework that promotes openness, collaboration, and innovation in TEL research.",,,https://doi.org/10.1007/978-3-642-16020-2_59
Online Research Community,Enterprise (Science) Viewpoint,Paradigm,Project Management and Collaboration,"An online research community, a facet of Research 2.0, harnesses Web 2.0 technologies and online platforms to conduct qualitative research efficiently and deeply. Both public and private communities offer research opportunities, with private communities catering to brands cautious about sharing proprietary information. These exclusive spaces engage specific customer segments or elusive consumers, fostering participatory research and reintroducing the social context often absent in traditional approaches. Brands leverage these communities to gather insights, test hypotheses, and observe consumer behavior, aided by adaptable online technology that supports various research needs. The continuity provided by online networks enhances ideation processes, enabling research to align with internal development cycles and provide valuable feedback throughout product development. In online research communities, members engage in dialogue, fostering interaction and enabling researchers to observe interactions and language use, resulting in more nuanced responses compared to traditional panels.",,,https://en.wikipedia.org/wiki/Online_research_community
Research Communities,Enterprise (Science) Viewpoint,Community,Project Management and Collaboration,"Research communities are intricate networks of scientists engaged in various scientific fields and institutions, fostering interdisciplinary collaborations and cross-institutional interactions. These communities encompass diverse sub-communities, each dedicated to specific scientific domains or areas of study. The scientific method serves as a foundational framework within these communities, aiming to achieve objectivity in research endeavors. Peer review plays a crucial role in maintaining the quality of research methodology and the interpretation of results, fostering discussion and debate within academic journals and conferences to ensure rigorous scientific standards are upheld.",,,"doi.org/10.1109/TSMC.1981.4308575, https://en.wikipedia.org/wiki/Scientific_community"
Consortium,Enterprise (Science) Viewpoint,Community,Project Management and Collaboration,"A consortium refers to an association comprising two or more entities, such as individuals, companies, organizations, or governments, that join together to pursue a shared objective or to combine resources toward a common goal. The term ""consortium"" originates from the Latin word meaning ""partnership,"" ""association,"" or ""society.""",,," https://en.wikipedia.org/wiki/Consortium#:~:text=Consortium%20is%20a%20Latin%20word,sors%20(%22fate%22)."
Interdisciplinary Teams,Enterprise (Science) Viewpoint,Community,Project Management and Collaboration,a team of people from different backgrounds working towards a common goal or product,,,https://www.hee.nhs.uk/sites/default/files/documents/HEE_MDT_Toolkit_V1.1.pdf
Integrated assessment,Enterprise (Science) Viewpoint,Community,Project Management and Collaboration, An interdisciplinary process of structuring knowledge elements from various scientific disciplines in such a manner that all relevant aspects of a complex societal problem are considered in their mutual coherence for the benefit of decision-making.,,, https://www.eea.europa.eu/help/glossary/gemet-environmental-thesaurus
Funding Bodies,Enterprise (Science) Viewpoint,Community,Project Management and Collaboration,"A ""funding body"" refers to an organized group, typically governmental or organizational, responsible for providing financial support or resources for a specific purpose, such as research, arts, or sports development.",,, https://www.collinsdictionary.com/dictionary/english/funding-body
International Cooperation,Enterprise (Science) Viewpoint,Phase,Project Management and Collaboration,"International cooperation, particularly within the European Union (EU), has evolved significantly since the signing of the Treaty of Rome in 1957, marking the beginning of EU development cooperation. Initially focused on overseas countries and territories of EU member states, the scope of EU development cooperation has expanded, with the EU becoming the world's largest donor, engaging with approximately 160 countries. The primary objective of EU development cooperation is poverty reduction and sustainable development in line with the United Nations' sustainable development goals. Guided by principles outlined in the Treaty on European Union and the Treaty on the Functioning of the European Union, EU external action emphasizes sustainable economic, social, and environmental development in developing countries. Recent changes include the rationalization of EU financing instruments, with the Neighbourhood, Development and International Cooperation Instrument – Global Europe becoming the main financing instrument for external action. Cooperation with African, Caribbean, and Pacific (ACP) countries, previously supported by the European Development Fund, is now integrated into the EU budget under the same instrument. Although the Cotonou Agreement between the EU and ACP countries was initially set to expire in 2020, its application has been extended until September 30, 2023, pending the implementation of a new ACP-EU partnership agreement.",,, https://eur-lex.europa.eu/EN/legal-content/glossary/international-cooperation.html
Development Phases,Computational Viewpoint,System,Project Management and Collaboration,"Development phases refer to the sequential stages or steps involved in the process of creating a new product, system, or solution. These phases provide a structured approach to guide the development team from initial ideation to final product launch. Each phase typically encompasses specific activities, such as idea generation, planning, design, implementation, testing, and deployment, aimed at achieving predefined objectives and milestones. Development phases ensure that the project progresses systematically, facilitates collaboration among team members, and helps manage resources effectively to deliver a high-quality product within the desired timeframe. The seven stages of new product development provide a structured approach for Agile software development and are: 1. Generating Ideas: Gather ideas from various sources, including internal teams and external research, without discrimination. Tools like Jira Product Discovery assist in structuring ideas and prioritizing based on data and feedback; 2. Screening Ideas: Evaluate and score ideas using criteria such as impact, effort, and confidence level to determine which ones to move forward. Tools like Jira Product Discovery matrixes help in organizing and prioritizing ideas effectively. 3. Creating a Product Strategy: Define the product's vision, target market, industry position, features, benefits, and value to the business. Templates in Confluence aid in refining the strategy and outlining objectives, success metrics, assumptions, and supporting documentation. 4. Building a Product Roadmap: Develop an action plan that outlines product functionality, release schedules, and aligns with business goals. A product roadmap serves as a shared source of truth and guides the team throughout the development process. 5. Prototyping: Rapidly develop prototypes to ensure viable solutions and quick time-to-market. Integration with tools like Jira Software facilitates seamless connection across the software delivery lifecycle. 6. Testing: Conduct internal QA testing and involve customers in alpha, beta, or user acceptance testing. Tools like Jira Software optimize the QA workflow by managing test cases, defects, and tracking testing progress. 7. Product Launch: Plan and execute a successful product launch, ensuring alignment across sales, marketing, HR, and legal teams. Templates in Confluence and tools like Jira Work Management streamline the launch process and facilitate cross-team collaboration. By following these stages, Agile teams can effectively navigate the new product development process, from idea generation to product launch, while maintaining alignment with business objectives and customer needs.",,, https://www.atlassian.com/agile/product-management/new-product-development-process
Planning and Design,Enterprise (Science) Viewpoint,Phase,Project Management and Collaboration,"Planning and design in software development involve collaborative efforts aimed at conceptualizing and refining the product's features and user experience. It begins with seeking input from customers and developers to ensure alignment with user needs and technical feasibility. Agile teams often face challenges in integrating design effectively due to factors like focusing on high-fidelity designs during planning, limited availability of designers, and difficulty in communicating feedback to the engineering team. To address these challenges, the product owner and designer collaborate to brainstorm and iterate on the product plan, validating the business case and ensuring the engineering team's efforts are directed towards solving real customer problems. This phase emphasizes the importance of getting the fundamentals right and prioritizes iterative design processes to gather feedback and refine solutions progressively. Throughout the development lifecycle, involving designers in sprint planning and backlog grooming helps ensure alignment with the product's vision and facilitates smoother progress towards achieving project goals.",,,https://www.atlassian.com/agile/design
Implementation,Technology Viewpoint,Phase,Project Management and Collaboration,"Jira implementation services encompass planning, preparation, setup, configuration, advanced customization, maintenance, and support. Beginning with planning and preparation, the process involves analyzing business requirements and tailoring the tool to meet specific needs, ensuring clear documentation for alignment with organizational goals. Experts then set up a clean environment, configure workflows, and customize dashboards to align with technical requirements, ensuring the tool is ready for productive use. Advanced customization optimizes integration with other Atlassian tools and third-party solutions, enhancing workflow efficiency through automation and scripting features. Ongoing maintenance and support services prioritize optimization efforts to ensure smooth operation and development of the Jira instance, freeing up team time and providing comprehensive training to empower users to navigate the system effectively.",,, https://deviniti.com/services/atlassian-jira-implementation/
Agile Manifesto,Computational Viewpoint,Process,Project Management and Collaboration,"The Agile Manifesto emerged from a convergence of various agile methodologies like Scrum, Extreme Programming, and Crystal Clear. Despite their competitive nature, representatives from these disciplines found common ground and agreed upon a set of values that defined a culture. These values prioritize customer satisfaction through early and continuous delivery of valuable software, embrace changing requirements for competitive advantage, emphasize frequent delivery of working software, advocate for close collaboration between business people and developers, encourage motivation and trust within teams, prioritize face-to-face communication, prioritize working software as a measure of progress, promote sustainable development practices, emphasize technical excellence and good design, highlight the importance of simplicity, recognize the value of self-organizing teams in shaping architectures and designs, and emphasize continuous improvement through reflection and adjustment.",,,"https://agilemanifesto.org/iso/en/manifesto.html, https://www.atlassian.com/agile/manifesto"
Scrum Framework,Computational Viewpoint,Process,Project Management and Collaboration,"Scrum is a software product development and management framework derived from agile principles and rooted in empiricism. Scrum enables teams to address complex challenges and deliver high-value products by enhancing collaboration, creativity, and productivity. Its core pillars of Adaptation, Inspection, and Transparency uphold the empiricism theory. Success with Scrum relies on embracing its five core values: Courage, Commitment, Openness, Respect, and Focus. The framework revolves around three key roles: Product Owner, Scrum Master, and Development Team, who drive self-organization throughout the sprint cycle. Scrum defines key events like Sprint, Sprint Planning, Daily Scrum, Sprint Review, and Sprint Retrospective, each serving a specific purpose in the sprint lifecycle. Its artifacts, including Product Backlog, Sprint Backlog, and Increment, form the foundation of Scrum's empiricism. The framework's flexibility allows for control over work in progress (WIP) and emphasizes releasing increments that meet the Definition of Done (DoD) at any time during the sprint cycle. Daily Scrum fosters self-organization by facilitating team collaboration and addressing impediments, while Sprint Review and Sprint Retrospective provide opportunities for inspection and improvement.",,, doi.org/10.35940/ijitee.C8545.019320 
kanban,Computational Viewpoint,Process,Project Management and Collaboration,"Kanban, derived from lean principles, is a logistical control tool aimed at achieving just-in-time (JIT) production. Originating from Toyota's lean house, Kanban has been adapted to software development by David Anderson since 2003, forming the Kanban method. This method emphasizes incremental, evolutionary process and systems changes in organizations. Anderson distinguishes the Kanban method from the pull system (kanban) by capitalizing the word ""Kanban"" and identifies five key elements for its successful implementation: visualizing the workflow, limiting work-in-progress (WIP), managing flow, making policies explicit, and implementing feedback loops. Anderson's contributions have been instrumental in establishing a comprehensive approach to Kanban.",,,doi.org/10.1007/s10664-014-9340-x
Lean Approach,Computational Viewpoint,Process,Project Management and Collaboration,"The lean approach, defined ten years after Scrum, centers on five core pillars: value, value stream, flow, pull, and perfection. It emphasizes understanding value from the customer's perspective, streamlining the steps to deliver that value, ensuring smooth and continuous workflow, aligning production with customer demand, and continuously seeking improvement. In the context of the Kanban method, as delineated by Anderson, the approach is distinguished by its utilization of the kanban pull system, visualization, and other tools to introduce Lean principles into technology development and IT operations.",,,DOI.org/10.1007/s10664-014-9340-x
Evaluation and Revision,Enterprise (Science) Viewpoint,Framework,Project Management and Collaboration,"Evaluation and revision of quality models are essential for ensuring consistent terminology, specifying, measuring, and evaluating system and software product quality. Quality models, such as the ISO 25010 Standard overview, provide a structured framework with characteristics and sub-characteristics against which quality requirements can be compared for completeness. The quality in use model focuses on the outcome of interaction when a product is used in a specific context, comprising five characteristics with further sub-divisions. Conversely, the product quality model addresses static properties of software and dynamic properties of the computer system, consisting of eight characteristics also subdivided for detailed assessment. Through evaluation and revision based on these models, organizations can refine their quality objectives and enhance the overall quality of their products and systems.",,,"https://www.perforce.com/blog/qac/what-is-iso-25010#:~:text=ISO%2025010%20Standard%20Overview,-ISO25010%20describes%20two&text=The%20characteristics%20and%20sub%2Dcharacteristics,can%20be%20compared%20for%20completeness."
Agile Development,Computational Viewpoint,Framework,Project Management and Collaboration,"Agile development in software refers to practices aimed at enhancing requirements discovery and solution improvement through collaboration among self-organizing, cross-functional teams, and customers/end users. These practices, often termed ""Agile,"" stem from the values and principles outlined in the 2001 Manifesto for Agile Software Development. They underpin various software development frameworks like Scrum and Kanban. Despite anecdotal evidence suggesting the effectiveness of agile practices, empirical evidence on their impact remains mixed and challenging to ascertain.",,, https://en.wikipedia.org/wiki/Agile_software_development#cite_note-FOOTNOTECollier2011-2
Sprint Planning,Enterprise (Science) Viewpoint,Phase,Project Management and Collaboration,"Sprint planning, an essential event in Scrum, initiates each sprint by defining what can be delivered and how. Collaboratively conducted with the entire Scrum team, it sets the agenda and focus for the sprint. The product owner outlines the sprint goal, backed by backlog items contributing to it, while the development team plans the work required to achieve this goal. This negotiation between the product owner and the development team, based on value and effort, ensures a realistic plan. The involvement of both parties is crucial, as the product owner defines the goal's value, and the development team assesses its feasibility. Inputs include the product backlog and an understanding of existing work, while outputs encompass a clear description of the sprint goal and its approach, documented in the sprint backlog. Successful sprint planning motivates the team, fosters collaboration, and sets the stage for a productive sprint, while inadequate planning can lead to unrealistic expectations and derailment.",,,https://www.atlassian.com/agile/scrum/sprint-planning
Sprint Backlog,Enterprise (Science) Viewpoint,Phase,Project Management and Collaboration,"The sprint backlog serves as a focused task list for a Scrum team during their sprint, a defined period for completing work. It helps prevent scope creep by prioritizing tasks from the product backlog, established during backlog grooming and selected for the sprint during sprint planning. These tasks are decided upon collaboratively by the project manager and the team during the sprint planning meeting, ensuring alignment with project goals and priorities.",,,https://www.atlassian.com/agile/project-management/sprint-backlog
User Story Mapping,Enterprise (Science) Viewpoint,Phase,Project Management and Collaboration,"User story mapping is a graphical collaborative exercise that helps Agile product teams create an insightful user experience. As user story mapping is a top-down approach, it divides the overall product vision into small actionable steps and organizes them according to priority. User story mapping exercises help Agile teams understand their end-users more effectively and create products that align with their needs.",,,https://www.wrike.com/agile-guide/glossary/
Retrospectives,Enterprise (Science) Viewpoint,Phase,Project Management and Collaboration,"Retrospectives are a work management method that Agile teams use to reflect on their style of work and make regular improvements to get better outcomes. Also known as a Sprint retrospective or Agile retrospective, this practice is done in regular intervals and helps teams discover the things that have worked and those that did not in specific projects.",,, https://www.wrike.com/agile-guide/glossary/
Environmental Managers,Enterprise (Science) Viewpoint,System,Project Management and Collaboration,People who put into action an environmental management plan or system,,,https://www.eea.europa.eu/help/glossary/gemet-environmental-thesaurus
Environmental management plan ,Enterprise (Science) Viewpoint,System,Project Management and Collaboration,"An action plan or system which addresses the how, when, who, where and what of integrating environmental mitigation and monitoring measures throughout an existing or proposed operation or activity. It encompasses all the elements that are sometimes addressed separately in mitigation, monitoring and action plans.",,,https://www.eea.europa.eu/help/glossary/gemet-environmental-thesaurus
